put_avg,put_avg_expanding,rolling_avg_5,rolling_sr_5,venue_avg,venue_overall_avg,pvp_avg,career_avg,career_sr,career_matches,ball,is_boundary,is_six,is_four,target_runs,target_sr
1.5,2.0,5.2,105.83400000000002,4.333333333333333,19.884393063583815,2.0,9.0,106.57857142857142,7,1,0,0,0,3.0,60.0
9.11111111111111,13.0,5.8,117.83400000000002,7.0,19.530133928571427,2.5,7.875,93.25625,8,5,0,0,0,6.0,200.0
7.333333333333333,11.0,4.8,130.334,7.0,19.530133928571427,10.0,7.333333333333333,89.5611111111111,9,3,1,0,1,0.0,0.0
1.5,1.0,4.4,117.0,0.5,20.70754716981132,2.0,7.2,100.60499999999999,10,1,0,0,0,4.0,66.67
7.75,31.0,2.6,65.334,10.2,19.11173184357542,1.5,6.545454545454546,91.4590909090909,11,6,0,0,0,10.0,83.33
5.2,15.0,4.6,82.0,7.0,19.530133928571427,3.5,6.333333333333333,89.39333333333333,12,12,0,0,0,12.0,70.59
9.11111111111111,8.0,6.4,84.11800000000001,6.5,22.061349693251532,2.9166666666666665,6.615384615384615,88.92692307692307,13,17,0,0,0,4.0,40.0
1.5,0.6666666666666666,6.0,52.11800000000001,7.0,19.530133928571427,1.5555555555555554,7.0,87.61714285714287,14,10,0,0,0,2.0,100.0
4.285714285714286,2.0,6.4,72.11800000000001,7.142857142857143,19.61134163208852,3.0,6.8,84.44266666666667,15,2,0,0,0,12.0,200.0
7.75,17.5,8.0,98.78399999999999,10.2,19.11173184357542,9.5,6.5,85.415,16,6,2,1,1,0.0,0.0
5.2,10.0,6.0,82.11800000000001,7.142857142857143,19.61134163208852,4.5,6.823529411764706,92.15529411764706,17,1,0,0,0,25.0,131.58
9.11111111111111,9.333333333333334,8.6,94.316,7.142857142857143,19.61134163208852,1.8333333333333335,6.444444444444445,87.03555555555556,18,19,4,0,4,0.0,0.0
0.0,8.0,7.8,86.316,0.0,16.487179487179485,4.0,7.421052631578948,89.38,19,1,0,0,0,2.0,40.0
7.333333333333333,8.5,7.8,74.316,7.0,20.09861111111111,1.0,7.05,84.911,20,5,0,0,0,9.0,90.0
7.75,15.666666666666666,7.2,52.31600000000001,7.142857142857143,19.61134163208852,8.0,6.809523809523809,82.77238095238096,21,10,0,0,0,0.0,0.0
15.0,9.11111111111111,7.2,52.31600000000001,7.142857142857143,19.61134163208852,0.0,6.909090909090909,83.1009090909091,22,1,0,0,0,18.0,257.14
9.11111111111111,13.25,5.8,77.428,7.0,19.321590909090908,5.0,6.608695652173913,79.48782608695652,23,7,4,0,4,0.0,0.0
9.11111111111111,14.2,5.8,77.428,0.5,17.72189349112426,2.0,7.083333333333333,86.89,24,2,0,0,0,6.0,85.71
11.0,1.5,6.6,86.57,7.0,19.530133928571427,1.0,6.8,83.4144,25,7,0,0,0,1.0,100.0
7.75,14.0,5.0,88.57,0.5,20.70754716981132,2.5,6.769230769230769,83.50269230769231,26,1,0,0,0,1.0,16.67
9.11111111111111,11.833333333333334,5.2,91.904,7.0,19.321590909090908,3.7,6.555555555555555,84.1137037037037,27,6,0,0,0,8.0,160.0
